Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-07 13:38:57.565861,4509.63636319,0,4072.27272687,0,3873.42424204,0,3931.63636324,0,4257.7272723,0,4316.96969654,0,4188.18181776,0,4300.99999957,0,4921.75757527,0,4145.42424201,0,4375.69696926,0,4168.60606019,0.0,4795.54545407,0,4443.18181774,0,42.0,42.0,?
2017-08-07 13:38:57.568150,4533.8484844,0,4128.42424201,4207.75757534,3753.39393902,0,4595.15151469,0,4248.45454503,0,4406.09090865,0,4162.42424201,0,4271.12121169,0,4934.63636314,0,3838.90909053,0,4300.48484805,0,4106.27272686,0.0,4789.8787874,0,4325.72727229,0,42.0,42.0,?
2017-08-07 13:38:57.571026,4532.30302985,0,4129.96969656,4207.75757534,3762.66666629,0,4592.57575712,0,4246.90909048,0,4400.42424198,0,4151.09090868,0,4263.39393897,0,4921.75757527,0,3824.4848481,0,4291.7272723,0,4092.36363595,0.0,4778.54545407,0,4324.69696926,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.574278,4525.60606015,0,4126.36363595,4207.75757534,3762.15151478,593.454545395,4586.90909045,0,4251.03030261,0,4411.75757532,0,4148.5151511,0,4262.36363594,0,4927.93939345,0,3822.42424204,0,4287.60606018,0,4088.75757535,0.0,4773.90909043,0,4323.15151472,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.577517,4527.1515147,0,4123.78787838,4207.75757534,3756.48484811,593.454545395,4589.99999954,4.1212121208,4248.45454503,0,4414.33333289,0,4159.84848443,0,4269.57575715,0,4936.18181769,0,3832.72727234,0,4295.84848442,0,4100.09090868,0.0,4783.69696922,0,4325.72727229,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.582127,4535.90909046,0,4131.5151511,4207.75757534,3760.60606023,593.454545395,4595.15151469,4.1212121208,4239.69696927,325.575757543,4407.12121168,0,4173.75757534,0,4275.75757533,0,4927.93939345,0,3834.7878784,0,4298.42424199,0,4104.2121208,0.0,4789.8787874,0,4330.36363593,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.585220,4539.51515106,0,4136.66666625,4207.75757534,3768.33333296,593.454545395,4594.12121166,4.1212121208,4236.60606018,325.575757543,4405.57575714,247.272727248,4175.30302989,0,4279.87878745,0,4928.96969648,0,3835.81818143,0,4296.87878745,0,4108.33333292,0.0,4791.42424195,0,4331.39393896,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.588095,4537.454545,0,4133.06060565,4207.75757534,3767.30302993,593.454545395,4590.51515106,4.1212121208,4239.18181776,325.575757543,4405.06060562,247.272727248,4161.39393898,3787.39393902,4277.81818139,0,4937.72727223,0,3847.15151477,0,4298.93939351,0,4113.99999959,0.0,4793.99999952,0,4331.90909048,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.591268,4536.93939349,0,4135.63636322,4207.75757534,3764.72727235,593.454545395,4586.90909045,4.1212121208,4245.87878745,325.575757543,4408.15151471,247.272727248,4149.54545413,3787.39393902,4273.18181775,3202.18181786,4936.18181769,0,3851.7878784,0,4300.48484805,0,4108.84848444,0.0,4793.99999952,0,4336.0303026,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.593994,4540.54545409,0,4142.84848443,4207.75757534,3767.30302993,593.454545395,4580.21212075,4.1212121208,4253.09090867,325.575757543,4413.81818138,247.272727248,4154.69696928,3787.39393902,4278.84848442,3202.18181786,4940.30302981,3329.93939361,3845.60606022,0,4304.09090866,0,4108.33333292,0.0,4797.60606013,0,4340.15151472,255.51515149,42.0,42.0,?
2017-08-07 13:38:57.597566,4544.1515147,0,4143.87878746,4207.75757534,3771.42424205,593.454545395,4577.12121166,4.1212121208,4241.75757533,325.575757543,4410.72727229,247.272727248,4160.87878746,3787.39393902,4286.06060563,3202.18181786,4951.12121163,3329.93939361,3851.7878784,519.272727221,4308.7272723,0,4115.03030262,0.0,4803.27272679,0,4339.12121169,255.51515149,42.0,42.0,?
